Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Laranjeiras,Viaduto Engenheiro Noronha,3,60,8500,0.0018,75,49,1800,130,184800,92
Copacabana,Rua Assis Brasil,3,57,8200,0.0018,98,52,2800,180,272800,77
Ipanema,Rua Alberto de Campos,3,50,14800,0.0018,90,54,4800,320,475200,43
Jardim Botânico,Rua Barao de Oliveira Castro,3,56,12500,0.0018,45,45,2800,180,272800,77
Botafogo,Rua Capistrano de Abreu,3,58,9800,0.0012,70,48,2800,180,272800,77
Botafogo,Rua Doutor Xavier Sigaud,2,60,9800,0.0012,35,41,2850,190,282150,75
Botafogo,Rua Doutor Sampaio Corrêa,2,48,9800,0.0012,95,48,2650,180,264550,78
Jardim Botânico,Aléia Pedro Gordilho,2,48,12500,0.0012,45,40,2650,180,264550,78
Laranjeiras,Rua Coelho Neto,2,51,8500,0.0012,75,44,1700,130,179300,92
Botafogo,Rua Diniz Cordeiro,2,48,9800,0.0012,95,48,2650,180,264550,78
São Conrado,Rua General Olympio Mourão Filho,2,55,11500,0.0012,30,40,1450,100,145750,98
Copacabana,Rua General Barbosa Lima,2,54,8200,0.0012,98,49,2750,180,270050,77
Urca,Rua Doutor Xavier Sigaud,2,60,11800,0.0012,35,43,1500,100,148500,98
Jardim Botânico,Aléia João Gomes,2,48,12500,0.0012,45,40,2650,180,264550,78
Botafogo,Vila Maria da Glória,2,56,9800,0.0012,95,51,2800,180,272800,77
Copacabana,Travessa Jaú,2,48,8200,0.0012,98,47,2650,180,264550,78
Gávea,Avenida Bartolomeu Mitre,2,63,13200,0.0012,45,48,1500,100,148500,98
Leblon,Avenida Borges de Medeiros,2,57,16500,0.0012,88,57,4950,330,490050,40
São Conrado,Autoestrada Engenheiro Fernando Mac Dowell,2,66,11500,0.0012,30,44,1550,100,151250,97
Botafogo,Rua Marechal Ramon Castilla,2,54,9800,0.0012,95,50,2750,180,270050,77
Ipanema,Ponto Final: General Osório :: Rua Prudente de Morais,2,96,14800,0.0012,90,73,5700,360,551100,30
Catete,Ponto Final: Largo do Machado :: Linha 497,2,96,6900,0.0012,82,64,4150,250,393250,57
Leblon,Rua Leblon,2,48,16500,0.0012,88,53,4750,320,472450,43
Copacabana,Rua Joseph Bloch,2,48,8200,0.0012,98,47,2650,180,264550,78
Gávea,Rua General Rabelo,2,51,13200,0.0012,45,43,1400,100,143000,99
Jardim Botânico,Rua Caminhoá,2,48,12500,0.0012,45,40,2650,180,264550,78
Urca,Rua Joaquim Caetano,2,54,11800,0.0012,35,40,1450,100,145750,98
Copacabana,Rua Sá Ferreira,2,57,8200,0.0012,98,51,2800,180,272800,77
Humaitá,Rua Capistrano de Abreu,2,56,9100,0.0012,70,45,2800,180,272800,77
Catete,Rua Barão de Guaratiba,2,48,6900,0.0012,82,42,1400,100,143000,99
Copacabana,Rua Capelão Álvares da Silva,2,51,8200,0.0012,98,48,2700,180,267300,78
Botafogo,Rua Camuirano,2,51,9800,0.0012,95,49,2700,180,267300,78
Ipanema,Praça Professor José Acioli,2,48,14800,0.0012,90,52,4750,320,472450,43
Leblon,Rua Juquiá,2,48,16500,0.0012,88,53,4750,320,472450,43
Copacabana,Orla Leme,2,48,8200,0.0012,98,47,2650,180,264550,78
Urca,Praça Tenente Gil Guilherme,2,48,11800,0.0012,35,38,1400,100,143000,99
Ipanema,Rua Barão de Jaguaripe,2,48,14800,0.0012,90,52,4750,320,472450,43
Botafogo,Rua Barão de Lucena,2,56,9800,0.0012,95,51,2800,180,272800,77
Jardim Botânico,Rua Abreu Fialho,2,54,12500,0.0012,45,43,2750,180,270050,77
Botafogo,Rua Assis Bueno,2,51,9800,0.0012,95,49,2700,180,267300,78
Gávea,Rua das Acácias,2,48,13200,0.0012,45,41,1400,100,143000,99
Botafogo,Rua Ministro Raul Fernandes,2,51,9800,0.0012,95,49,2700,180,267300,78
Humaitá,Rua Maria Eugênia,2,54,9100,0.0012,70,45,2750,180,270050,77
Copacabana,BRS 2 Bolívar,2,51,8200,0.0012,98,48,2700,180,267300,78
Gávea,Estrada da Gávea,2,64,13200,0.0012,45,48,1500,100,148500,98
Copacabana,Belfort Roxo,2,61,8200,0.0012,98,52,2850,190,282150,75
Leblon,"BRS 2,3 - Cupertino Durão",2,54,16500,0.0012,88,56,4900,320,480700,42
Copacabana,BRS 2 República do Peru,2,54,8200,0.0012,98,49,2750,180,270050,77
Botafogo,Rua Natal,2,51,9800,0.0012,95,49,2700,180,267300,78
Jardim Botânico,Rua Marquês de Sabará,2,58,12500,0.0012,45,45,2800,180,272800,77
Urca,Mureta da Urca,2,55,11800,0.0012,35,41,1450,100,145750,98
Botafogo,Ladeira dos Tabajaras,2,56,9800,0.0012,95,51,2800,180,272800,77
Gávea,Rua Mário Ribeiro,2,51,13200,0.0012,45,43,1400,100,143000,99
Urca,Rua Osório de Almeida,2,54,11800,0.0012,35,40,1450,100,145750,98
Copacabana,Rua Saint Roman,2,56,8200,0.0012,98,50,2800,180,272800,77
Laranjeiras,Calçada Compartilhada Rua Pinheiro Machado,2,64,8500,0.0012,75,49,1850,140,194150,90
Copacabana,BRS 1 Sá Ferreira,2,51,8200,0.0012,98,48,2700,180,267300,78
Copacabana,Rua Otaviano Hudson,2,57,8200,0.0012,98,51,2800,180,272800,77
Copacabana,BRS 2: Rainha Elizabeth,2,54,8200,0.0012,98,49,2750,180,270050,77
Urca,Rua Otávio Correia,2,51,11800,0.0012,35,39,1400,100,143000,99
Copacabana,Beco das Garrafas,2,51,8200,0.0012,98,48,2700,180,267300,78
Flamengo,Avenida Rui Barbosa,2,61,9200,0.0006,95,53,1800,130,184800,92
Botafogo,Avenida Repórter Nestor Moreira,2,54,9800,0.0012,95,50,2750,180,270050,77
Botafogo,Rua Paulo VI,2,56,9800,0.0006,75,47,2800,180,272800,77
São Conrado,Avenida Niemeyer,2,65,11500,0.0012,30,44,1500,100,148500,98
Botafogo,Avenida Lauro Sodré,2,64,9800,0.0012,95,55,2900,190,284900,75
Flamengo,Avenida Infante Dom Henrique,2,56,9200,0.0012,95,51,1750,130,182050,92
Botafogo,Avenida Infante Dom Henrique,2,56,9800,0.0012,95,51,2800,180,272800,77
Copacabana,Rua Piragibe Frota Aguiar,2,51,8200,0.0012,90,46,2700,180,267300,78
Ipanema,Rua Piragibe Frota Aguiar,2,51,14800,0.0012,90,53,4800,320,475200,43
Leblon,Rua Professor Arthur Ramos,2,48,16500,0.0012,88,53,4750,320,472450,43
Jardim Botânico,Aléia Cândido Baptista,2,51,12500,0.0012,45,42,2700,180,267300,78
Jardim Botânico,Aléia Arruda Câmara,1,45,12500,0.0006,45,38,2650,180,264550,78
Jardim Botânico,Aléia Warming,1,45,12500,0.0006,45,38,2650,180,264550,78
Leblon,Autoestrada Lagoa-Barra,1,45,16500,0.0006,88,50,4700,320,469700,44
Flamengo,Avenida Beira-Mar,1,54,9200,0.0006,88,47,1750,130,182050,92
Botafogo,Avenida Carlos Peixoto,1,52,9800,0.0006,95,48,2750,180,270050,77
Urca,Travessa do Procópio,1,55,11800,0.0006,35,39,1450,100,145750,98
Botafogo,Túnel Novo,1,45,9800,0.0006,98,45,2650,180,264550,78
Copacabana,Túnel Novo,1,45,8200,0.0006,98,44,2650,180,264550,78
Urca,UNIRIO,1,52,11800,0.0006,35,38,1400,100,143000,99
Botafogo,Viaduto San Tiago Dantas,1,55,9800,0.0006,95,49,2750,180,270050,77
Laranjeiras,Rua Pires de Almeida,1,45,8500,0.0006,75,39,1650,130,176550,93
Laranjeiras,Rua Presidente Carlos de Campos,1,49,8500,0.0006,75,41,1700,130,179300,92
São Conrado,Rua Princesa Diana de Gales,1,45,11500,0.0006,30,35,1350,100,140250,99
Botafogo,Rua Principado de Mônaco,1,49,9800,0.0006,95,47,2700,180,267300,78
Gávea,Rua Quintino Cunha,1,45,13200,0.0006,45,38,1350,100,140250,99
Laranjeiras,Rua Paulo VI,1,54,8500,0.0006,75,44,1750,130,182050,92
Laranjeiras,Rua Rumânia,1,51,8500,0.0006,75,42,1700,130,179300,92
Laranjeiras,Rua Moura Brasil,1,49,8500,0.0006,75,41,1700,130,179300,92
Botafogo,Rua Mundo Novo,1,45,9800,0.0006,95,45,2650,180,264550,78
Humaitá,Rua Mário de Andrade,1,45,9100,0.0006,70,39,2650,180,264550,78
Jardim Botânico,Rua Nina Rodrigues,1,45,12500,0.0006,45,38,2650,180,264550,78
Urca,Rua Odílio Bacelar,1,54,11800,0.0006,35,39,1450,100,145750,98
Laranjeiras,Rua Marquesa de Santos,1,55,8500,0.0006,75,44,1750,130,182050,92
Flamengo,Rua Martins Ribeiro,1,49,9200,0.0006,88,45,1700,130,179300,92
Humaitá,Rua Miguel Pereira,1,52,9100,0.0006,70,42,2750,180,270050,77
Leblon,Rua Ministro Raul Machado,1,54,16500,0.0006,88,54,4900,320,480700,42
Urca,Rua Lírio da Paz,1,45,11800,0.0006,35,35,1350,100,140250,99
Gávea,Rua Major Rubens Vaz,1,51,13200,0.0006,45,41,1400,100,143000,99
Botafogo,Rua Marechal Francisco de Moura,1,49,9800,0.0006,95,47,2700,180,267300,78
Jardim Botânico,Rua José Joaquim Seabra,1,45,12500,0.0006,45,38,2650,180,264550,78
São Conrado,Rua Julieta Niemeyer,1,49,11500,0.0006,30,35,1400,100,143000,99
Humaitá,Rua São Clemente,1,64,9100,0.0006,70,48,2900,190,284900,75
Copacabana,Rua Inhangá,1,52,8200,0.0006,98,47,2750,180,270050,77
Jardim Botânico,Rua Joaquim Campos Porto,1,54,12500,0.0006,45,42,2750,180,270050,77
Jardim Botânico,Rua Getúlio das Neves,1,45,12500,0.0006,45,38,2650,180,264550,78
São Conrado,Rua Herbert Moses,1,45,11500,0.0006,30,35,1350,100,140250,99
São Conrado,Rua Engenheiro Álvaro Niemeyer,1,45,11500,0.0006,30,35,1350,100,140250,99
Jardim Botânico,Rua Eurico Cruz,1,45,12500,0.0006,45,38,2650,180,264550,78
Leblon,Rua Fadel Fadel,1,45,16500,0.0006,88,50,4700,320,469700,44
Jardim Botânico,Rua Doutor Girondino Estêves,1,51,12500,0.0006,45,40,2700,180,267300,78
Leblon,Rua Doutor Marques Canário,1,52,16500,0.0006,88,54,4850,320,477950,42
Urca,Rua Elmano Cardim,1,45,11800,0.0006,35,35,1350,100,140250,99
São Conrado,Rua Engenheiro Amandino de Carvalho,1,55,11500,0.0006,30,38,1450,100,145750,98
Laranjeiras,Rua Tavares Bastos,1,49,8500,0.0006,75,41,1700,130,179300,92
Botafogo,Rua Teodor Herzl,1,45,9800,0.0006,95,45,2650,180,264550,78
Ipanema,Rua Tereza Aragão,1,49,14800,0.0006,90,51,4800,320,475200,43
Urca,Rua Urbano Santos,1,52,11800,0.0006,35,38,1400,100,143000,99
